task_id,country,evaluator_id,hire_date,task_date,task_type,accuracy,duration_sec,payment_usd
70,ZA,1170,2025-01-10,2025-02-16,Receipt Transcription,0.97,413,1.91
71,IN,1041,2024-10-18,2025-02-18,Receipt Transcription,0.986,244,1.35
72,US,1023,2024-10-29,2025-02-25,Image Labelling,0.972,379,1.71
73,US,1004,2024-10-28,2025-03-03,Image Labelling,0.943,86,0.27
74,NG,1098,2025-02-05,2025-03-20,Image Labelling,1.0,192,1.02
75,IN,1195,2025-01-23,2025-03-14,Receipt Transcription,0.933,31,0.1
76,IN,1098,2024-11-16,2025-04-03,Receipt Transcription,0.927,38,0.19
77,IN,1119,2025-01-23,2025-04-01,Image Labelling,0.976,240,1.13
78,US,1076,2024-08-18,2025-01-31,Image Labelling,0.924,149,0.49
79,DE,1100,2025-01-19,2025-02-08,Receipt Transcription,0.93,74,0.4
80,US,1095,2025-01-15,2025-02-15,Image Labelling,0.921,420,2.21
81,BR,1172,2025-02-16,2025-03-21,Image Labelling,0.931,446,1.96
82,IN,1186,2025-02-25,2025-04-17,Image Labelling,0.956,34,0.16
83,UK,1119,2024-09-16,2025-02-25,Image Labelling,0.974,835,4.39
84,US,1064,2025-02-15,2025-04-23,Image Labelling,1.0,240,0.86
85,UK,1190,2024-11-20,2025-02-11,Business Search,0.933,104,0.34
86,UK,1120,2025-02-03,2025-04-20,Receipt Transcription,0.947,270,1.39
87,IN,1089,2024-11-15,2025-04-09,Business Search,0.927,1132,4.68
88,IN,1194,2024-12-26,2025-03-03,Business Search,0.922,230,1.13
89,BR,1176,2024-09-18,2025-02-14,Business Search,0.94,50455,175.95
90,DE,1114,2024-12-07,2025-03-03,Image Labelling,0.926,129,0.57
91,US,1076,2025-01-03,2025-02-15,Receipt Transcription,0.982,374,1.22
92,IN,1031,2024-12-31,2025-03-18,Image Labelling,0.935,105,0.54
93,IN,1111,2025-01-07,2025-03-19,Image Labelling,0.93,93,0.32
94,IT,1177,2025-02-22,2025-04-06,Receipt Transcription,0.952,1069,5.86
95,IN,1185,2025-02-21,2025-03-15,Image Labelling,0.946,469,1.43
96,DE,1051,2024-09-29,2025-02-27,Business Search,0.939,195,1.02
97,IT,1022,2025-01-17,2025-04-19,Image Labelling,0.969,112,0.32
98,DE,1029,2024-12-22,2025-02-03,Business Search,1.0,62,0.18
99,US,1069,2025-01-23,2025-04-09,Receipt Transcription,0.951,148,0.58
100,US,1070,2024-11-15,2025-03-04,Business Search,0.91,328,1.6
101,US,1110,2024-10-06,2025-02-12,Image Labelling,0.936,192,0.7
102,IN,1157,2024-10-18,2025-02-06,Receipt Transcription,0.965,160,0.59
103,UK,1036,2025-01-04,2025-02-15,Image Labelling,0.971,336,1.57
104,IT,1047,2025-01-18,2025-02-06,Image Labelling,0.956,487,1.37
105,BR,1159,2025-02-24,2025-03-09,Image Labelling,0.978,133,0.38
106,UK,1069,2025-02-08,2025-02-27,Business Search,0.955,388,2.12
107,DE,1034,2024-12-28,2025-02-28,Business Search,0.939,957,3.37
108,IN,1067,2024-12-09,2025-02-10,Image Labelling,0.909,482,2.11
109,UK,1159,2024-10-02,2025-03-27,Image Labelling,0.922,420,1.74
110,US,1058,2025-03-18,2025-03-22,Receipt Transcription,0.955,95,0.5
111,UK,1117,2025-01-02,2025-04-25,Image Labelling,0.942,401,2.09
112,US,1162,2024-11-11,2025-02-11,Image Labelling,1.0,159,0.59
113,BR,1111,2025-03-17,2025-04-12,Receipt Transcription,0.996,221,1.11
114,NG,1143,2024-08-13,2025-01-30,Image Labelling,0.96,661,2.34
115,IN,1118,2024-09-10,2025-02-02,Receipt Transcription,0.944,93,0.36
116,BR,1114,2025-02-15,2025-03-26,Image Labelling,0.901,49,0.17
117,NG,1104,2025-01-11,2025-03-04,Receipt Transcription,1.0,1116,4.76
118,US,1179,2025-01-11,2025-02-16,Business Search,0.947,246,1.27
119,BR,1065,2024-12-03,2025-01-27,Business Search,0.978,43,0.18
120,IT,1005,2025-02-14,2025-03-27,Business Search,0.958,210,0.98
121,NG,1013,2025-01-20,2025-03-07,Image Labelling,0.974,119,0.61
122,BR,1156,2024-11-11,2025-02-11,Business Search,0.935,31,0.17
123,UK,1105,2025-02-23,2025-04-24,Image Labelling,0.924,299,1.27
124,US,1153,2024-12-01,2025-02-27,Business Search,0.969,409,1.59
125,UK,1017,2025-02-18,2025-02-23,Image Labelling,0.919,282,1.13
126,DE,1003,2024-10-31,2025-03-13,Image Labelling,0.967,56,0.29
127,NG,1056,2024-09-06,2025-02-20,Receipt Transcription,0.978,55,0.26
128,BR,1118,2024-08-25,2025-02-20,Receipt Transcription,0.914,827,3.91
129,US,1052,2025-03-18,2025-04-23,Business Search,0.945,375,1.59
130,IT,1101,2024-12-12,2025-02-19,Image Labelling,0.947,635,3.45
131,DE,1024,2024-09-28,2025-03-22,Image Labelling,0.989,99,0.45
132,UK,1174,2024-12-23,2025-01-30,Receipt Transcription,0.908,149,0.55
133,US,1179,2024-11-04,2025-02-09,Business Search,0.966,72,0.31
134,UK,1161,2024-09-07,2025-01-28,Receipt Transcription,0.933,100,0.48
135,BR,1143,2025-03-11,2025-03-16,Business Search,0.961,641,3.52
136,UK,1093,2025-02-22,2025-03-12,Receipt Transcription,0.928,878,4.32
137,IT,1126,2025-01-21,2025-02-25,Business Search,0.969,183,0.61
138,IN,1123,2025-01-08,2025-03-31,Business Search,0.893,512,2.37
139,DE,1035,2025-03-22,2025-03-24,Image Labelling,0.916,320,1.59
140,ZA,1155,2025-01-04,2025-03-22,Image Labelling,0.953,157,0.61
141,ZA,1192,2025-01-28,2025-02-26,Image Labelling,0.963,589,2.04
142,UK,1071,2024-09-26,2025-02-25,Image Labelling,0.97,191,1.02
143,DE,1052,2025-01-18,2025-04-15,Business Search,0.892,142,0.42
144,UK,1169,2025-03-04,2025-03-16,Business Search,0.955,340,1.86
145,UK,1078,2024-11-29,2025-02-20,Image Labelling,0.888,168,0.79
146,US,1097,2024-12-20,2025-03-16,Image Labelling,0.937,86,0.4
147,IN,1146,2024-12-29,2025-02-20,Image Labelling,0.976,338,1.36
148,IT,1043,2024-12-08,2025-02-12,Receipt Transcription,0.976,95,0.29
149,US,1029,2024-08-31,2025-02-21,Business Search,0.989,50,0.22
150,UK,1073,2025-02-08,2025-03-24,Business Search,0.952,146,0.49
151,BR,1171,2024-11-13,2025-03-14,Image Labelling,0.954,166,0.74
152,UK,1116,2024-10-15,2025-02-10,Business Search,0.963,293,1.62
153,US,1154,2025-02-01,2025-04-18,Image Labelling,0.916,570,1.61
154,DE,1083,2024-09-26,2025-03-12,Business Search,0.928,356,1.12
155,ZA,1072,2024-11-21,2025-04-08,Business Search,0.952,328,1.21
156,UK,1033,2025-02-22,2025-02-25,Image Labelling,0.952,644,2.55
157,IN,1126,2025-01-26,2025-04-23,Image Labelling,1.0,112,0.5
158,IN,1084,2025-03-15,2025-04-04,Image Labelling,0.744,356,1.59
159,UK,1151,2025-01-16,2025-03-08,Image Labelling,0.944,242,1.02
160,IN,1055,2025-03-07,2025-04-18,Receipt Transcription,0.906,396,2.03
161,DE,1006,2024-11-17,2025-04-01,Business Search,0.907,552,2.61
162,IN,1195,2025-01-21,2025-03-06,Business Search,0.994,411,1.64
163,IN,1050,2024-10-28,2025-04-24,Image Labelling,0.915,180,0.59
164,IT,1135,2025-01-30,2025-02-22,Receipt Transcription,0.959,108,0.44
165,US,1183,2024-12-07,2025-02-19,Receipt Transcription,0.991,521,2.88
166,NG,1057,2025-01-19,2025-04-17,Receipt Transcription,0.951,639,2.0
167,UK,1084,2025-01-13,2025-03-31,Receipt Transcription,0.918,359,1.72
168,US,1068,2025-02-11,2025-02-27,Business Search,0.977,239,1.22
169,US,1007,2025-01-07,2025-02-16,Image Labelling,1.0,97,0.38
170,IT,1193,2024-11-11,2025-02-12,Image Labelling,0.979,96,0.41
171,IN,1151,2024-10-04,2025-02-24,Image Labelling,0.917,767,3.76
172,US,1169,2024-10-07,2025-02-07,Receipt Transcription,0.942,71,0.31
173,IT,1053,2024-11-03,2025-02-09,Image Labelling,0.959,66,0.28
174,UK,1143,2024-10-13,2025-04-06,Receipt Transcription,0.958,132,0.47
175,IN,1131,2024-09-18,2025-02-01,Image Labelling,0.923,1403,5.55
176,US,1058,2024-10-03,2025-03-07,Receipt Transcription,1.0,220,0.69
177,IN,1093,2025-03-02,2025-03-04,Image Labelling,0.954,318,1.18
178,DE,1045,2025-03-16,2025-04-23,Image Labelling,0.945,72,0.33
179,BR,1093,2024-10-31,2025-03-09,Receipt Transcription,0.927,173,0.74
180,US,1098,2024-12-22,2025-02-10,Image Labelling,0.934,149,0.62
181,UK,1012,2024-12-02,2025-02-03,Image Labelling,0.999,524,2.21
182,US,1036,2024-12-17,2025-04-02,Image Labelling,0.918,63,0.18
183,BR,1181,2024-11-04,2025-02-09,Receipt Transcription,0.992,40,0.22
184,BR,1176,2025-03-13,2025-04-21,Image Labelling,1.0,1454,4.48
185,UK,1074,2024-10-11,2025-03-18,Image Labelling,0.919,245,1.06
186,IN,1057,2024-11-11,2025-03-04,Receipt Transcription,0.954,672,2.31
187,NG,1018,2024-11-26,2025-03-29,Image Labelling,0.964,351,1.83
188,IT,1145,2024-09-17,2025-02-13,Image Labelling,0.931,100,0.28
189,IT,1187,2025-02-12,2025-03-02,Image Labelling,0.977,85,0.37
190,UK,1144,2024-11-06,2025-01-30,Receipt Transcription,0.909,590,2.87
191,US,1138,2025-03-31,2025-04-15,Image Labelling,0.957,1080,3.81
192,BR,1142,2025-02-21,2025-03-06,Business Search,0.93,295,1.33
193,BR,1199,2024-11-27,2025-04-05,Receipt Transcription,0.935,120,0.64
194,IN,1107,2024-11-28,2025-04-19,Image Labelling,0.985,160,0.79
195,UK,1144,2025-03-17,2025-03-26,Image Labelling,0.983,321,1.0
196,UK,1089,2024-10-01,2025-03-01,Image Labelling,0.932,767,3.66
197,IN,1119,2025-02-01,2025-03-23,Receipt Transcription,0.981,98,0.53
198,BR,1004,2024-11-03,2025-02-28,Receipt Transcription,0.976,76,0.24
199,BR,1188,2024-11-16,2025-03-19,Image Labelling,0.938,443,2.13
200,IN,1131,2024-11-01,2025-03-06,Receipt Transcription,0.916,162,0.73
201,IN,1055,2024-10-28,2025-02-09,Business Search,0.981,284,1.52
202,US,1103,2025-03-18,2025-04-07,Business Search,0.745,34,0.12
203,US,1047,2025-02-20,2025-03-12,Image Labelling,0.939,306,1.66
204,BR,1047,2025-01-19,2025-02-13,Image Labelling,0.92,194,0.59
205,IN,1162,2024-11-03,2025-04-17,Image Labelling,0.928,162,0.58
206,US,1108,2025-03-07,2025-04-13,Receipt Transcription,0.946,115,0.34
207,US,1160,2025-02-19,2025-03-18,Business Search,0.964,503,1.7
208,IN,1099,2024-10-29,2025-04-24,Receipt Transcription,0.957,135,0.4
209,US,1020,2025-04-20,2025-04-20,Business Search,0.937,75,0.39
210,US,1101,2024-11-29,2025-04-17,Image Labelling,0.961,471,2.6
211,IT,1004,2024-09-08,2025-02-07,Image Labelling,0.951,264,1.28
212,IN,1191,2024-10-26,2025-02-22,Business Search,0.899,361,1.82
213,IN,1196,2024-09-10,2025-03-04,Image Labelling,0.955,762,2.94
214,UK,1148,2025-02-10,2025-04-11,Receipt Transcription,0.92,96,0.36
215,IN,1088,2025-03-31,2025-04-15,Business Search,0.915,240,1.03
216,UK,1073,2025-02-20,2025-04-04,Receipt Transcription,0.943,540,2.54
217,UK,1121,2025-02-21,2025-03-10,Receipt Transcription,0.91,202,0.69
218,IN,1159,2024-11-15,2025-02-10,Image Labelling,0.9,748,3.86
219,IN,1145,2024-08-10,2025-01-30,Business Search,0.906,384,2.13
220,NG,1057,2024-12-27,2025-03-30,Receipt Transcription,0.971,119,0.36
221,IN,1097,2025-02-27,2025-04-26,Receipt Transcription,0.935,332,1.0
222,IT,1078,2024-09-17,2025-02-27,Image Labelling,0.984,138,0.75
223,US,1151,2024-11-29,2025-03-19,Image Labelling,0.941,237,0.73
224,DE,1004,2024-10-24,2025-04-09,Business Search,0.919,132,0.49
225,UK,1126,2024-08-23,2025-02-12,Image Labelling,0.928,759,4.15
226,UK,1180,2024-10-25,2025-04-11,Business Search,0.965,517,1.72
227,ZA,1095,2024-11-20,2025-03-24,Business Search,0.918,426,2.14
228,DE,1182,2024-12-19,2025-03-19,Receipt Transcription,0.985,394,1.91
229,BR,1132,2025-02-12,2025-04-05,Image Labelling,0.936,33,0.14
230,IN,1196,2024-09-01,2025-02-17,Image Labelling,0.899,180,0.82
231,IN,1121,2024-12-15,2025-03-23,Receipt Transcription,0.887,534,2.04
232,IT,1168,2024-08-22,2025-02-17,Image Labelling,0.986,888,2.75
233,IT,1097,2024-08-31,2025-02-12,Receipt Transcription,0.931,207,0.68
234,DE,1134,2025-01-15,2025-03-24,Receipt Transcription,0.913,54,0.27
235,US,1089,2024-09-16,2025-02-20,Image Labelling,0.92,165,0.5
236,IN,1128,2024-12-26,2025-04-01,Image Labelling,0.996,295,1.15
237,UK,1051,2024-11-01,2025-03-14,Business Search,0.912,150,0.52
238,US,1097,2025-01-03,2025-03-30,Receipt Transcription,0.926,511,1.72
239,IN,1025,2024-10-21,2025-04-17,Image Labelling,0.888,634,1.99
240,US,1120,2024-11-29,2025-02-08,Image Labelling,0.939,41,0.19
241,BR,1190,2025-01-16,2025-02-02,Receipt Transcription,0.974,352,1.21
242,ZA,1011,2024-09-30,2025-03-03,Receipt Transcription,0.985,263,1.0
243,BR,1069,2024-11-16,2025-04-01,Image Labelling,0.939,36,0.17
244,DE,1083,2025-03-25,2025-04-16,Receipt Transcription,0.995,477,1.38
245,US,1018,2024-11-01,2025-01-30,Receipt Transcription,0.946,147,0.5
246,BR,1131,2024-12-07,2025-04-08,Image Labelling,0.995,447,1.99
247,DE,1095,2024-11-21,2025-02-02,Image Labelling,0.988,53,0.22
248,ZA,1004,2024-10-08,2025-03-20,Image Labelling,0.983,42,0.21
249,ZA,1120,2024-09-10,2025-02-26,Receipt Transcription,0.941,148,0.57
250,BR,1127,2024-08-25,2025-01-28,Image Labelling,1.0,111,0.59
251,UK,1053,2024-11-01,2025-02-04,Image Labelling,0.989,205,1.09
252,DE,1197,2024-12-08,2025-02-27,Image Labelling,0.965,123,0.59
253,BR,1184,2025-01-07,2025-04-22,Receipt Transcription,0.923,672,2.1
254,UK,1179,2024-11-08,2025-02-09,Image Labelling,0.948,518,2.1
255,US,1017,2025-02-03,2025-02-20,Image Labelling,0.908,77,0.4
256,IT,1063,2024-12-06,2025-04-26,Receipt Transcription,0.905,145,0.64
257,BR,1137,2024-09-23,2025-03-11,Receipt Transcription,0.952,122,0.48
258,IN,1022,2024-11-23,2025-02-19,Image Labelling,0.956,90,0.43
259,IT,1119,2025-03-12,2025-03-23,Receipt Transcription,0.918,290,0.82
260,US,1114,2025-01-08,2025-03-07,Image Labelling,1.0,38,0.13
261,IN,1081,2025-03-23,2025-04-14,Image Labelling,0.742,132,0.37
262,ZA,1195,2024-08-04,2025-01-27,Business Search,0.942,787,4.36
263,US,1179,2025-04-02,2025-04-26,Receipt Transcription,0.899,160,0.82
264,IT,1095,2025-01-18,2025-02-01,Business Search,0.931,59,0.23
265,BR,1174,2024-12-13,2025-03-16,Image Labelling,0.928,370,1.16
266,IN,1197,2025-03-19,2025-03-30,Business Search,0.927,915,4.05
267,IN,1025,2024-11-23,2025-03-17,Image Labelling,0.938,898,4.85
268,IN,1197,2024-09-20,2025-02-23,Image Labelling,0.941,338,1.39
269,DE,1098,2025-02-27,2025-04-13,Business Search,0.98,70,0.25
270,UK,1170,2024-09-21,2025-03-06,Image Labelling,0.932,240,0.96
271,NG,1196,2024-10-30,2025-02-23,Receipt Transcription,0.988,332,1.0
272,NG,1190,2025-03-08,2025-04-06,Business Search,0.956,1044,5.34
273,BR,1065,2024-10-17,2025-02-09,Business Search,0.921,531,1.63
274,BR,1103,2025-02-01,2025-02-14,Image Labelling,0.919,335,1.19
275,IT,1190,2024-12-18,2025-02-18,Business Search,0.972,139,0.6
276,IT,1140,2025-03-05,2025-03-07,Receipt Transcription,1.0,115,0.44
277,IN,1178,2024-11-10,2025-01-28,Business Search,0.912,176,0.7
278,IN,1004,2024-11-28,2025-04-26,Receipt Transcription,0.971,118,0.6
279,IN,1174,2024-11-17,2025-03-22,Receipt Transcription,0.902,60,0.26
280,IN,1163,2025-03-20,2025-04-24,Receipt Transcription,0.917,393,1.33
281,BR,1163,2025-03-08,2025-04-09,Image Labelling,0.947,467,1.49
282,UK,1177,2024-10-05,2025-02-08,Business Search,0.968,437,2.18
283,DE,1183,2024-10-18,2025-02-14,Image Labelling,0.958,115,0.43
284,US,1018,2025-01-05,2025-01-30,Image Labelling,0.966,186,0.8
285,IT,1019,2024-12-13,2025-04-12,Receipt Transcription,0.945,146,0.6
286,US,1149,2024-11-01,2025-03-21,Receipt Transcription,0.961,81,0.27
287,DE,1030,2024-10-01,2025-02-15,Business Search,0.934,351,1.2
288,IT,1104,2025-02-10,2025-04-24,Receipt Transcription,0.977,115,0.57
289,UK,1189,2024-11-08,2025-04-03,Image Labelling,0.94,62,0.26
290,IT,1043,2025-01-20,2025-03-31,Business Search,0.911,858,4.68
291,US,1195,2024-10-27,2025-02-20,Image Labelling,0.917,1376,4.72
292,US,1194,2024-10-11,2025-02-24,Image Labelling,0.948,87,0.34
293,NG,1100,2024-11-13,2025-03-28,Receipt Transcription,0.914,94,0.51
294,DE,1088,2025-01-18,2025-03-21,Receipt Transcription,1.0,49,0.19
295,US,1048,2024-12-14,2025-03-26,Image Labelling,0.933,138,0.74
296,IT,1058,2024-12-27,2025-04-16,Image Labelling,0.918,593,1.73
297,IN,1131,2024-12-30,2025-02-10,Image Labelling,0.952,149,0.81
298,UK,1116,2025-02-05,2025-02-06,Business Search,0.978,303,1.66
299,IN,1166,2025-03-01,2025-03-18,Image Labelling,0.964,71,0.28
300,US,1134,2025-03-07,2025-03-13,Receipt Transcription,0.943,153,0.84
301,US,1198,2025-01-10,2025-03-04,Receipt Transcription,0.938,375,1.46
302,IT,1176,2025-02-19,2025-04-18,Receipt Transcription,0.965,424,1.79
303,IT,1088,2024-10-14,2025-03-18,Receipt Transcription,0.999,463,2.42
304,IN,1014,2025-02-25,2025-03-19,Image Labelling,0.944,226,0.73
305,IN,1006,2025-01-26,2025-02-28,Image Labelling,0.951,391,1.69
306,ZA,1174,2024-11-07,2025-02-26,Image Labelling,0.604,530,2.43
307,IT,1115,2025-01-31,2025-04-25,Receipt Transcription,0.971,88,0.46
308,UK,1195,2024-09-27,2025-03-24,Image Labelling,0.887,636,3.29
309,IN,1097,2024-11-25,2025-04-11,Image Labelling,0.905,69,0.31
310,UK,1117,2025-01-19,2025-03-08,Business Search,0.95,99,0.38
311,DE,1172,2024-10-07,2025-02-13,Receipt Transcription,0.931,46,0.16
312,US,1107,2025-01-15,2025-02-25,Receipt Transcription,0.957,116,0.64
313,US,1105,2024-10-28,2025-02-27,Image Labelling,0.919,410,1.22
314,ZA,1146,2025-03-12,2025-03-18,Image Labelling,0.921,344,1.29
315,NG,1046,2025-01-05,2025-02-09,Receipt Transcription,0.961,422,1.87
316,IN,1052,2025-02-12,2025-03-02,Image Labelling,0.91,481,1.96
317,DE,1154,2024-11-20,2025-02-05,Receipt Transcription,0.937,372,1.52
318,US,1132,2024-12-03,2025-03-12,Image Labelling,0.966,95,0.34
319,US,1059,2025-03-07,2025-04-22,Image Labelling,0.951,234,0.95
320,UK,1076,2024-09-03,2025-02-26,Image Labelling,0.972,275,1.5
321,IT,1061,2024-11-19,2025-01-31,Image Labelling,0.882,89,0.4
322,IN,1058,2024-12-11,2025-03-22,Business Search,0.97,33,0.14
323,IN,1188,2025-01-01,2025-03-25,Receipt Transcription,0.964,156,0.55
324,UK,1055,2024-10-07,2025-03-11,Image Labelling,0.988,153,0.49
325,ZA,1077,2024-12-27,2025-03-03,Receipt Transcription,0.916,1288,3.61
326,IN,1046,2024-10-30,2025-04-17,Image Labelling,0.951,34,0.18
327,IT,1175,2024-11-28,2025-04-21,Image Labelling,0.992,461,1.89
328,IN,1137,2025-03-15,2025-03-28,Image Labelling,0.998,249,1.25
329,DE,1159,2024-10-06,2025-03-13,Image Labelling,0.905,208,1.11
330,UK,1192,2025-01-01,2025-02-02,Image Labelling,0.946,220,1.12
331,DE,1023,2025-02-13,2025-02-23,Receipt Transcription,0.92,803,2.74
332,IN,1028,2025-01-13,2025-02-21,Receipt Transcription,0.924,237,0.98
333,US,1134,2025-01-17,2025-02-01,Image Labelling,0.913,146,0.47
334,US,1094,2024-12-22,2025-04-12,Business Search,0.897,151,0.75
335,US,1144,2025-01-25,2025-04-15,Image Labelling,0.955,42,0.12
336,US,1093,2025-01-24,2025-04-19,Image Labelling,0.91,76,0.42
337,BR,1024,2024-12-14,2025-04-03,Receipt Transcription,0.926,232,0.74
338,IN,1035,2025-01-01,2025-03-31,Image Labelling,0.97,1167,4.4
339,DE,1188,2024-09-14,2025-03-11,Image Labelling,0.976,141,0.74
340,US,1070,2024-12-23,2025-04-14,Image Labelling,0.985,384,1.47
341,DE,1162,2024-11-28,2025-03-13,Image Labelling,0.723,182,0.61
342,DE,1119,2024-11-16,2025-01-29,Image Labelling,0.95,153,0.53
343,US,1049,2024-12-30,2025-03-20,Business Search,0.922,275,1.33
344,DE,1183,2024-09-06,2025-03-03,Receipt Transcription,0.917,741,3.39
345,DE,1127,2025-03-14,2025-03-14,Receipt Transcription,0.961,160,0.6
346,IN,1192,2025-02-08,2025-03-07,Image Labelling,0.906,127,0.65
347,IN,1040,2025-01-10,2025-03-12,Image Labelling,0.905,535,2.35
348,US,1024,2024-08-27,2025-02-05,Receipt Transcription,0.943,532,2.88
349,DE,1161,2024-08-13,2025-01-28,Receipt Transcription,0.987,67,0.2
350,IN,1135,2025-02-16,2025-02-26,Receipt Transcription,0.962,856,2.86
351,IT,1055,2025-01-24,2025-02-18,Business Search,0.946,1029,3.25
352,BR,1083,2024-09-13,2025-02-18,Image Labelling,0.983,114,0.54
353,IN,1157,2025-03-03,2025-04-21,Business Search,0.941,104,0.57
354,US,1067,2025-01-28,2025-04-10,Image Labelling,0.869,1296,5.66
355,US,1020,2025-01-28,2025-01-28,Receipt Transcription,0.904,447,2.23
